"village","sum_social","sum_kerorice","sum_advice","sum_decision","sum_jati","sum_union_link","sum_intersect_link","sum_backbone","sum_union_wtd","sum_raw_wtd","link_no_jati","intersect_link_no_jati","backbone_no_jati"
47,34.4079916059075,32.3204753432599,18.9114825338155,26.1180317257935,5.14814814814815,8.69941329692827,4,20.8677265180897,11.9496599216763,29.5576165258568,28.89760327895,17.8498026187464,39.3875586141848
48,41.9695703145272,48.8531713863495,43.7321968992919,47.7070604611347,9.13861386138614,19.0768776178039,44.9204437805525,34.5401457790814,20.8105787605962,37.48861120554,37.1186219975521,43.2145760695728,47.4114036078474
49,19.301002670195,23.9517484971486,30.884432936704,22.4223694217324,7.0875,11.3377532196012,18.5936758106886,20.6418542705682,13.2910109512064,24.572289888376,18.8783181718434,31.8038527543315,28.6231588422197
50,33.3432682173493,45.5425643930628,26.6395641116432,18.3223874698007,8.34482758620688,18.0066341776753,12.0114212432997,34.4914543419942,19.4299247906028,19.9933178611613,27.7607465903338,24.6092560588128,36.3132724643115
51,23.201879381583,15.4668524775429,16.5736804716066,14.622507698891,5.01136363636364,11.4159482995218,18.486165820365,20.8772329374498,12.7184501814266,36.5642495715752,18.4840204325935,16.0273430900441,20.7727260123683
52,30.2816368295861,24.1049301591817,37.5417968155637,42.6500466929505,9.21505376344087,24.2183753944585,9.4260334474721,56.2315578929327,27.5975586031401,36.1787905886748,37.2297940364596,17.2306114223632,52.6366809988166
53,23.4481976980114,20.7270831759143,21.510242518724,20.3987136411575,4.47777777777777,7.16172191733169,9.15408411277623,15.3077210100094,8.32178862947509,21.8012916920471,23.4410147804942,19.2133103698782,21.5977771932464
54,32.5267090820779,44.7671187823571,43.1603051323775,33.4673474042836,7.8139534883721,20.4361055717112,12.5513877857868,48.9023468899829,25.642628450842,35.4633819870353,28.9706556368293,45.7061250393633,50.7891960781657
55,37.1269462292961,56.2298856505097,46.1110068593624,51.8888758238456,9.99999999999999,15.0074161941299,56.6250520273336,57.7676524033887,15.4527558979457,40.6086994207533,34.9374905523441,59.178461591706,53.1425550541513
56,29.8229990099744,26.9483416827031,30.920584265206,27.2480167169031,6.51063829787233,16.5896903932157,15.0320189163987,37.168158583321,21.8332042982119,23.1479506959736,25.938004148271,25.0350319605937,39.1672986386474
57,17.4868959101378,19.7290283696718,14.7393129466147,16.2492987877192,4.49122807017544,10.7108461400923,7.38487195974302,21.3803350774311,11.5848947002022,10.932629243827,15.7470464071883,19.3932048652226,17.9614016927823
58,12.2863288388401,13.3407263643299,17.5057976600564,16.9005482968537,4.32558139534884,7.94023182512401,9.82768445532266,13.7848231540934,9.17897500057733,23.8911151100136,15.0569354272193,14.2698653136666,15.5940658760849
59,14.3923495983514,15.418832310875,11.5521859487113,16.623095910111,4.95121951219512,10.2038695752474,6.86062655842108,18.6251440254604,10.9721084132551,17.0820433533994,20.3887384759119,12.5887483284212,15.6194984457864
60,18.0245796164923,17.4079680394765,16.2791165893202,16.2117195523339,5.00000000000001,13.6509921215728,13.5586441268322,24.2336325976994,14.4116911831856,17.1219805305116,18.4598934202979,12.5425692679902,17.9371244514698
61,13.2715584704555,18.7115003908631,16.7116159656826,13.9038095211539,4.16666666666667,9.64997516164413,7.42052619329855,21.6965008875127,11.5739526782709,23.2784617360989,18.2639501132099,10.8408855629494,19.1285577972124
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,9.8851402191271,9.8619995571847,9.66431879406384,12.2949996111294,4.08474576271186,8.47502083156126,3.19293611981587,11.5270663114004,8.34689826873701,10.9477008379529,11.2106795137649,9.66928354013198,11.1425212703187
64,34.0630051079858,26.8487708724551,20.015184304556,23.987133268532,9.09615384615384,21.6436981878913,9.40532109611343,39.7226593981394,22.265904199275,34.3032842495323,28.6877320957105,16.5307360125605,29.2958492334004
65,18.0634584813143,23.2578630346071,22.956009273943,19.5792239129653,9.23255813953489,25.398178833207,15.479641064749,55.8867249074932,26.1711259853549,13.2350398006683,20.8072580581771,21.9588185787143,37.3796494037261
66,11.864657048624,12.8448646203069,16.4208220360454,5.24617519306539,3.61971830985915,8.22651145406866,6.60970696704142,15.5837916438489,9.50566339509484,10.8281373287116,6.80866494525203,7.45509094935898,14.8234611947958
67,21.2058159945055,13.432408355281,14.3032929686087,10.5258235318246,6,15.654781555484,7.97235629111492,30.1508707192667,16.327816269479,7.44487228028179,17.146435975218,12.0666272897033,15.743646881798
68,3.95696756694312,3.82485884319992,2.72142689504154,3.90258379047269,4,10.0252944837037,2.76542967177148,18.6805049039336,9.55010406928787,2,3.72966845497251,3.12319497235143,3.85912284742516
69,6.34912319755077,2.74870451441957,5.97999825692195,6.39782493498115,1.29824561403509,1.67640175206924,1,3.42836120661925,2.1683780342217,5.12578819172111,6.32149585977414,2.87138635876337,6.27992516983337
70,8.28675458377687,6.05222178803452,13.259028958501,11.6787491557118,3.35,8.51089094916434,2.76227164583371,10.7825026302537,7.83418364998662,8.09729152989394,8.71126244140798,10.1943672951553,11.2252453697048
71,22.4832289292613,24.8187983805832,21.9387924345193,23.4080932260677,3.7258064516129,9.73586011534377,12.1514060281562,18.5700465013922,12.2245166215728,19.540707838858,19.8524119225651,23.6565083990108,23.6175017830154
